,custo_5_1,custo_4_1,custo_4_3,custo_obts,countrycode
0,2.845531155922587,11.899167005932032,14.395928212370524,6.6070707697448565,ABW
1,37.7839409731878,inf,inf,55.35281201480428,AGO
2,27.234439915955868,4.750839183137622e+46,1.8058839253965548e+68,23.866193461160314,AIA
3,5.132196914590859,21.664050980804973,28.307314202549083,17.052577583170613,ALB
4,41.24283214841604,inf,inf,62.84610098008415,ARE
5,6.007409885663595,25.710366846877886,34.1187027884853,22.564627520101837,ARG
6,7.541368929140924,34.99598437517912,49.59894709762882,5.953479645053926,ARM
7,45.44860664272119,inf,inf,32.118482192237686,ATG
8,0.8296171451690482,4.925893954283467,5.137065771589988,35.594283245684124,AUS
9,0.6738709727732051,4.43781370732399,4.498586159448381,3.9528076358657973,AUT
10,15.751064948584869,211.09820845077945,13943065409087.984,17.452994519386237,AZE
11,5.662218588536372,23.953823533581087,31.440371595480322,-47.797415365274766,BDI
12,0.7675718404700493,4.7294438659302385,4.873458621243998,10.878276210942571,BEL
13,2.5167218515504075,10.602781136175343,12.513862524430452,-39.89879790110395,BEN
14,8.595447309042669,41.77165455584204,61.397870608394854,-395.1691973913941,BFA
15,3.792780870662571,15.608198771561144,19.459630175932286,-37.40863760864635,BGD
16,8.342360899634805,39.79010631774098,57.616185791673736,18.472126206796386,BGR
17,11.1119468323434,64.67250812459264,112.92913669924509,37.824254518344155,BHR
18,16.350743447117356,200.68647496524434,720252693121.5059,53.59445567124773,BHS
19,22.616639092767056,2.9480890276464156e+25,9.8183463436246e+46,15.93872750975424,BIH
20,7.696513338762423,36.06410567055931,51.51029012077009,16.931261813095738,BLR
21,7.618484530502645,34.95557295149905,49.09986177056109,40.48213124840874,BLZ
22,0.7899158546447405,4.797833524200268,4.95313839470688,10.016656046839305,BMU
23,2.3099716386419056,9.881527529317701,11.59692136155308,87.11688450079991,BOL
24,2.3678035661237162,10.066809475244277,11.800606830733852,8.3742733129362,BRA
25,11.368453710042182,67.20678244461855,119.64918307029961,119.59311935030014,BRB
26,21.279720427710956,2.9443452290766292e+16,8.55186046937095e+37,367.0495388991386,BRN
27,10.424731150613287,57.059360297815,93.25864021923485,24.365491993637338,BTN
